estudiante_codigo,estudiante_nombre,materia,curso_id,trimestre_id,fecha,presente,justificada
2221,Ernesto Solis,Matemáticas,6,1,2025-02-03,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-04,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-05,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-06,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-07,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-10,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-11,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-12,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-13,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-14,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-17,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-18,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-19,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-20,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-21,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-24,False,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-25,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-26,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-27,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-02-28,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-03-03,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-03-04,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-03-05,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-03-06,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-03-07,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-03-10,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-03-11,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-03-12,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-03-13,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-03-14,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-03-17,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-03-18,True,False
2221,Ernesto Solis,Matemáticas,6,1,2025-03-19,True,False
