estudiante_codigo,estudiante_nombre,materia,curso_id,tipo_evaluacion_id,trimestre_id,titulo,descripcion,fecha_asignacion,fecha_entrega,nota_maxima,nota_minima_aprobacion,porcentaje_nota_final,permite_entrega_tardia,penalizacion_tardio,calificacion,anio
2221,Ernesto Solis,Matemáticas,6,1,4,PARCIAL 1,Parcial 1 de Matemáticas - 2022,2022-02-11,2022-02-16,100.0,51.0,20.0,True,10.0,50.5,2022
2221,Ernesto Solis,Matemáticas,6,1,4,PARCIAL 2,Parcial 2 de Matemáticas - 2022,2022-02-21,2022-02-26,100.0,51.0,20.0,True,10.0,53.5,2022
2221,Ernesto Solis,Matemáticas,6,1,4,PARCIAL 3,Parcial 3 de Matemáticas - 2022,2022-03-03,2022-03-08,100.0,51.0,20.0,True,10.0,70.0,2022
2221,Ernesto Solis,Matemáticas,6,2,4,PRÁCTICO 1,Práctico 1 de Matemáticas - 2022,2022-02-04,2022-02-08,100.0,51.0,5.0,True,10.0,50.1,2022
2221,Ernesto Solis,Matemáticas,6,2,4,PRÁCTICO 2,Práctico 2 de Matemáticas - 2022,2022-02-07,2022-02-11,100.0,51.0,5.0,True,10.0,53.8,2022
2221,Ernesto Solis,Matemáticas,6,2,4,PRÁCTICO 3,Práctico 3 de Matemáticas - 2022,2022-02-10,2022-02-14,100.0,51.0,5.0,True,10.0,52.0,2022
2221,Ernesto Solis,Matemáticas,6,2,4,PRÁCTICO 4,Práctico 4 de Matemáticas - 2022,2022-02-13,2022-02-17,100.0,51.0,5.0,True,10.0,79.0,2022
2221,Ernesto Solis,Matemáticas,6,2,4,PRÁCTICO 5,Práctico 5 de Matemáticas - 2022,2022-02-16,2022-02-20,100.0,51.0,5.0,True,10.0,76.6,2022
2221,Ernesto Solis,Matemáticas,6,2,4,PRÁCTICO 6,Práctico 6 de Matemáticas - 2022,2022-02-19,2022-02-23,100.0,51.0,5.0,True,10.0,56.5,2022
2221,Ernesto Solis,Matemáticas,6,1,5,PARCIAL 1,Parcial 1 de Matemáticas - 2022,2022-05-11,2022-05-16,100.0,51.0,20.0,True,10.0,63.1,2022
2221,Ernesto Solis,Matemáticas,6,1,5,PARCIAL 2,Parcial 2 de Matemáticas - 2022,2022-05-21,2022-05-26,100.0,51.0,20.0,True,10.0,53.1,2022
2221,Ernesto Solis,Matemáticas,6,1,5,PARCIAL 3,Parcial 3 de Matemáticas - 2022,2022-05-31,2022-06-05,100.0,51.0,20.0,True,10.0,52.6,2022
